Episode,Reward,AvgTemp,ComfortRatio,EnergyConsumption
1,213.1120788590337,20.944111392372548,0.6947368421052632,5.012579591348768
2,186.74713244102188,20.688434801603634,0.6736842105263158,4.98345229210332
3,228.8835527083694,21.126240298622548,0.6736842105263158,4.986686130657327
4,264.2055364935537,21.225651469983568,0.7052631578947368,4.990277713858524
5,256.59871088166295,21.444858269942447,0.6842105263157895,4.932766143041665
6,248.85549771411445,21.190015612150507,0.6842105263157895,5.124755765921436
7,194.64855793459827,20.9595044587788,0.631578947368421,4.847967973959168
8,241.9676760019889,21.500814337479454,0.6947368421052632,4.733402014533058
9,302.2016319778149,21.84223247327304,0.7684210526315789,4.871540198684668
10,195.1702431327553,21.616328831722875,0.6210526315789474,4.484882909315639
